"id" "action" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum" "subjects" "sum"
"1" "WALKING" 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863 1 3.62462374987863
"2" "WALKING_UPSTAIRS" 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168 2 16.1464219827168
"3" "WALKING_DOWNSTAIRS" 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063 3 0.274347260646063
"4" "SITTING" 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972 4 -0.0177434918458972
"5" "STANDING" 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064 5 -0.108925032737064
"6" "LAYING" 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688 6 -0.607783818968688
"1" "WALKING" 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501 7 -0.510191378479501
"2" "WALKING_UPSTAIRS" 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125 8 -0.61306429934125
"3" "WALKING_DOWNSTAIRS" 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046 9 0.669226222373046
"4" "SITTING" 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518 10 0.00403879092060518
